,cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power,x,y,new_cellname,id,fo4_delay,fix_load_delay,group_id,libcell_id,size_class,size_class2,size_cnt
1267,_575_,0,0,0,5292,8100,5778,8370,0,0,0,HAxp5_ASAP7_75t_R,6.851547801334235e-11,1.2552295629575385e-06,5535.0,8235.0,cell1267,2609,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1268,_576_,0,0,0,3996,5670,4482,5940,0,0,0,HAxp5_ASAP7_75t_R,5.816340464814829e-11,1.4777962178413873e-06,4239.0,5805.0,cell1268,2610,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1269,clkbuf_0_clk,0,0,1,7668,7560,7938,7830,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,9.233222954208031e-06,7803.0,7695.0,cell1269,2611,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1270,clkbuf_2_0__f_clk,0,0,1,6858,4860,7128,5130,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,1.4576844478142448e-05,6993.0,4995.0,cell1270,2612,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1271,clkbuf_2_1__f_clk,0,0,1,8856,4860,9126,5130,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,1.3630494322569575e-05,8991.0,4995.0,cell1271,2613,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1272,clkbuf_2_2__f_clk,0,0,1,6264,10260,6534,10530,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,1.3727440091315655e-05,6399.0,10395.0,cell1272,2614,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1273,clkbuf_2_3__f_clk,0,0,1,7668,10530,7938,10800,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,1.1458323569968344e-05,7803.0,10665.0,cell1273,2615,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1274,ctrl.state.out\[0\]$_DFF_P_,1,0,1,5022,3240,6156,3510,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7123852336098366e-10,4.295532107789768e-06,5589.0,3375.0,cell1274,2616,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1275,ctrl.state.out\[1\]$_DFF_P_,1,0,1,4806,1890,5940,2160,0,0,0,DFFHQNx2_ASAP7_75t_R,2.1083121359843915e-10,3.844062575808493e-06,5373.0,2025.0,cell1275,2617,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1276,ctrl.state.out\[2\]$_DFF_P_,1,0,1,5076,3780,6210,4050,0,0,0,DFFHQNx2_ASAP7_75t_R,1.9870555201251247e-10,4.707055722974474e-06,5643.0,3915.0,cell1276,2618,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1277,dpath.a_reg.out\[0\]$_DFFE_PP_,1,0,1,2862,5940,3996,6210,0,0,0,DFFHQNx2_ASAP7_75t_R,1.8585001593240944e-10,5.542623057408491e-06,3429.0,6075.0,cell1277,2619,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1278,dpath.a_reg.out\[10\]$_DFFE_PP_,1,0,1,6750,7830,7938,8100,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946906791914242e-10,5.777604656032054e-06,7344.0,7965.0,cell1278,2620,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1279,dpath.a_reg.out\[11\]$_DFFE_PP_,1,0,1,7830,1620,9018,1890,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1992536958226336e-10,5.838224751641974e-06,8424.0,1755.0,cell1279,2621,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1280,dpath.a_reg.out\[12\]$_DFFE_PP_,1,0,1,6318,1620,7506,1890,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1907842207014028e-10,5.974617124593351e-06,6912.0,1755.0,cell1280,2622,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1281,dpath.a_reg.out\[13\]$_DFFE_PP_,1,0,1,11340,4590,12528,4860,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1987181519911303e-10,5.84170084039215e-06,11934.0,4725.0,cell1281,2623,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1282,dpath.a_reg.out\[14\]$_DFFE_PP_,1,0,1,11772,3240,12960,3510,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1987119069866168e-10,5.845578016305808e-06,12366.0,3375.0,cell1282,2624,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1283,dpath.a_reg.out\[15\]$_DFFE_PP_,1,0,1,9396,1620,10584,1890,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1907806124765727e-10,5.980824880680302e-06,9990.0,1755.0,cell1283,2625,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1284,dpath.a_reg.out\[1\]$_DFFE_PP_,1,0,1,4860,7020,5994,7290,0,0,0,DFFHQNx2_ASAP7_75t_R,1.8617912767027176e-10,5.76645015826216e-06,5427.0,7155.0,cell1284,2626,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1285,dpath.a_reg.out\[2\]$_DFFE_PP_,1,0,1,2862,8910,4050,9180,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946777728487632e-10,5.773931206931593e-06,3456.0,9045.0,cell1285,2627,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
